YEAR,MONTH,sex,agegrp,total,disabilityType,percent
2009,11,Men,55 to 64,16948692.9997,Any difficulty,0.154437221692925
2009,11,Men,25 to 54,62170668.992,Any difficulty,0.0621763605840788
2009,11,Women,25 to 54,63470173.9982,Any difficulty,0.0641145104898469
2009,11,Women,18 to 24,14264030.4167,Any difficulty,0.0335111233596617
2009,11,Men,18 to 24,14418220.9011,Any difficulty,0.0382438539943532
2009,11,Men,65+,16562046.9932,Any difficulty,0.300532428699401
2009,11,Women,65+,21742277.004,Any difficulty,0.329893782876578
2009,11,Women,55 to 64,18229069.0068,Any difficulty,0.161887732829316
2009,12,Men,65+,16593364.9973,Any difficulty,0.300346661603053
2009,12,Women,65+,21772718.9815,Any difficulty,0.328814433235604
2009,12,Women,55 to 64,18288843.9991,Any difficulty,0.160684939919911
2009,12,Men,25 to 54,62175992.9993,Any difficulty,0.0613480265742269
2009,12,Women,25 to 54,63463977.9943,Any difficulty,0.0643748955268284
2009,12,Men,18 to 24,14414722.8926,Any difficulty,0.0382947000794154
2009,12,Women,18 to 24,14308954.1186,Any difficulty,0.0355012571421748
2009,12,Men,55 to 64,17007307.9961,Any difficulty,0.15912204781736
2010,1,Women,55 to 64,18309167.0179,Any difficulty,0.153576594377613
2010,1,Men,25 to 54,61897960.0103,Any difficulty,0.0616129447136123
2010,1,Women,65+,21772004.0018,Any difficulty,0.330563841973618
2010,1,Women,25 to 54,63287336.0183,Any difficulty,0.0634059806489512
2010,1,Men,65+,16597313.0026,Any difficulty,0.299044419649282
2010,1,Men,55 to 64,17018284.9972,Any difficulty,0.162366255333873
2010,1,Men,18 to 24,14632905.2268,Any difficulty,0.0387595857766674
2010,1,Women,18 to 24,14399548.2823,Any difficulty,0.0329521514215313
2010,2,Men,55 to 64,17066716.9928,Any difficulty,0.154556090735717
2010,2,Women,55 to 64,18359997.0028,Any difficulty,0.151911235762982
2010,2,Women,25 to 54,63289542.0164,Any difficulty,0.0653152801852924
2010,2,Men,25 to 54,61912111.0069,Any difficulty,0.0625043732262452
2010,2,Women,65+,21796112.9956,Any difficulty,0.328812367890861
2010,2,Men,65+,16623155.9932,Any difficulty,0.294683555932691
2010,2,Men,18 to 24,14657215.9128,Any difficulty,0.0427185532112686
2010,2,Women,18 to 24,14403171.2064,Any difficulty,0.0320217319776815
2010,3,Men,55 to 64,17114931.9988,Any difficulty,0.15774826175116
2010,3,Women,55 to 64,18410630.0099,Any difficulty,0.151070066907238
2010,3,Women,25 to 54,63290324.0161,Any difficulty,0.0664745779975745
2010,3,Men,25 to 54,61924589.0155,Any difficulty,0.0633053048348656
2010,3,Women,65+,21820074.9921,Any difficulty,0.324175429097333
2010,3,Men,65+,16648839.0024,Any difficulty,0.29644376852275
2010,3,Men,18 to 24,14662636.3647,Any difficulty,0.0407709907025462
2010,3,Women,18 to 24,14490255.1731,Any difficulty,0.0326072095111985
2010,4,Men,55 to 64,17163609.9932,Any difficulty,0.155671283095955
2010,4,Women,55 to 64,18461701.0015,Any difficulty,0.150166543401106
2010,4,Women,25 to 54,63293521.9837,Any difficulty,0.0662254947951779
2010,4,Men,25 to 54,61939849.0104,Any difficulty,0.0618864878610922
2010,4,Women,18 to 24,14471246.6043,Any difficulty,0.0364237916893336
2010,4,Women,65+,21844457.0041,Any difficulty,0.316169927140039
2010,4,Men,65+,16674925.0028,Any difficulty,0.288165010235017
2010,4,Men,18 to 24,14662532.8027,Any difficulty,0.0404110559323618
2010,5,Women,25 to 54,63301610.9864,Any difficulty,0.0673223110374803
2010,5,Women,65+,21869317.9922,Any difficulty,0.312405532090062
2010,5,Men,25 to 54,61961380.0036,Any difficulty,0.0624717081797581
2010,5,Women,55 to 64,18510110.0008,Any difficulty,0.15300327593286
2010,5,Men,55 to 64,17209935.9988,Any difficulty,0.154693830719977
2010,5,Men,18 to 24,14581756.8402,Any difficulty,0.0410411853495009
2010,5,Men,65+,16701155.0053,Any difficulty,0.282493784465972
2010,5,Women,18 to 24,14436023.872,Any difficulty,0.0358463658960622
2010,6,Women,65+,21895926.9817,Any difficulty,0.312458844584109
2010,6,Men,65+,16728752.0073,Any difficulty,0.288589263065966
2010,6,Women,55 to 64,18559956.0037,Any difficulty,0.149704904733939
2010,6,Women,18 to 24,14556986.9659,Any difficulty,0.0325250512011245
2010,6,Men,25 to 54,61988619.0012,Any difficulty,0.061004419894026
2010,6,Women,25 to 54,63314963.9956,Any difficulty,0.0641398976643533
2010,6,Men,55 to 64,17257683.0049,Any difficulty,0.155968302977622
2010,6,Men,18 to 24,14587976.0931,Any difficulty,0.0377396813229221
2010,7,Women,25 to 54,63330417.9891,Any difficulty,0.0640367279321921
2010,7,Men,25 to 54,62018067.0081,Any difficulty,0.0598736308004412
2010,7,Women,65+,21923426.0024,Any difficulty,0.311388848807329
2010,7,Men,65+,16757056.0106,Any difficulty,0.280290169557763
2010,7,Women,55 to 64,18610487.0077,Any difficulty,0.144141399410457
2010,7,Men,55 to 64,17306121.0035,Any difficulty,0.155938288594782
2010,7,Women,18 to 24,14670383.1531,Any difficulty,0.0272883233806614
2010,7,Men,18 to 24,14712614.1402,Any difficulty,0.0402081345070848
2010,8,Women,25 to 54,63332363.9924,Any difficulty,0.0630686698522626
2010,8,Men,65+,16794826.9985,Any difficulty,0.279239868557078
2010,8,Women,65+,21961404.0187,Any difficulty,0.315346402634505
2010,8,Men,55 to 64,17362330.999,Any difficulty,0.150624746910459
2010,8,Men,25 to 54,62034161.0025,Any difficulty,0.0596945823245802
2010,8,Women,55 to 64,18669053.9947,Any difficulty,0.14629199076586
2010,8,Men,18 to 24,14669781.3441,Any difficulty,0.0414306005143315
2010,8,Women,18 to 24,14476873.2631,Any difficulty,0.0281114049217597
2010,9,Men,25 to 54,62053865.9918,Any difficulty,0.0610499920214578
2010,9,Women,25 to 54,63337659.9991,Any difficulty,0.0622110829442703
2010,9,Women,65+,22000546.9959,Any difficulty,0.31789136168766
2010,9,Men,65+,16833506.0037,Any difficulty,0.286014166665087
2010,9,Women,55 to 64,18728569.0027,Any difficulty,0.144973184016813
2010,9,Men,55 to 64,17419489.9947,Any difficulty,0.15105836143886
2010,9,Men,18 to 24,14547065.4615,Any difficulty,0.0436830690410927
2010,9,Women,18 to 24,14318116.9691,Any difficulty,0.0309473335604307
2010,10,Women,25 to 54,63339232.0043,Any difficulty,0.0630212940208844
2010,10,Women,18 to 24,14322345.4577,Any difficulty,0.0286649233334391
2010,10,Men,25 to 54,62069519.9751,Any difficulty,0.0604962852476764
2010,10,Men,65+,16871257.9995,Any difficulty,0.28770439835274
2010,10,Women,65+,22038506.0038,Any difficulty,0.317570227632183
2010,10,Men,18 to 24,14520524.2528,Any difficulty,0.0445864746567368
2010,10,Women,55 to 64,18787099.0094,Any difficulty,0.148198641179617
2010,10,Men,55 to 64,17475655.0053,Any difficulty,0.155511421447482
2010,11,Men,25 to 54,62084096.0086,Any difficulty,0.0621975945057668
2010,11,Women,25 to 54,63339263.0013,Any difficulty,0.0643903404562237
2010,11,Men,65+,16899247.996,Any difficulty,0.294274544913306
2010,11,Men,55 to 64,17531279.0056,Any difficulty,0.154374569478673
2010,11,Women,55 to 64,18846473.006,Any difficulty,0.149275450022099
2010,11,Women,65+,22066493.0063,Any difficulty,0.319031564775159
2010,11,Men,18 to 24,14583284.7722,Any difficulty,0.0434263325370463
2010,11,Women,18 to 24,14340251.7992,Any difficulty,0.0298221937793211
2010,12,Women,65+,22093639.0046,Any difficulty,0.318571452223627
2010,12,Men,65+,16926559.0028,Any difficulty,0.296834802499957
2010,12,Women,25 to 54,63336618.9922,Any difficulty,0.0640941782793921
2010,12,Men,25 to 54,62095750.0118,Any difficulty,0.0630882109670237
2010,12,Men,18 to 24,14596260.276,Any difficulty,0.0413476559261103
2010,12,Women,18 to 24,14419380.6061,Any difficulty,0.0326332037175673
2010,12,Women,55 to 64,18905138.9991,Any difficulty,0.14241568285365
2010,12,Men,55 to 64,17586187.9963,Any difficulty,0.159752758090104
2011,1,Men,25 to 54,61562982.0035,Any difficulty,0.059838649631861
2011,1,Women,25 to 54,63116713.9908,Any difficulty,0.0643478374633382
2011,1,Women,55 to 64,18925274.0024,Any difficulty,0.145638031943446
2011,1,Women,18 to 24,14534071.4439,Any difficulty,0.0299659906985522
2011,1,Men,55 to 64,17582424.991,Any difficulty,0.158996452021321
2011,1,Women,65+,22060841.0135,Any difficulty,0.318965027139898
